Country Name;Country Code;Indicator Name;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Aruba;ABW;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Africa Eastern and Southern;AFE;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;AFG;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;0;;;0,493891716;;;0;0;;
Africa Western and Central;AFW;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;AGO;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;0;;;;;0;;0;;;0,094815485;;;;;0;;0;;
Albania;ALB;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;0;;;0;;;;;;0;0,068279997;0,046528023;0,085198693;0,067151345;0,05221289;0,127428845;0,194402367;0,259837568;;;;
Andorra;AND;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,699999988;
Arab World;ARB;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
United Arab Emirates;ARE;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;0,839179993;1,024749994;0,90346998;;1,030689955;1,038900018;
Argentina;ARG;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Armenia;ARM;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;0,157916218;;0,541136324;0,530093431;0,409852445;0,312984943;0,55326885;;;;;0,648302078;0,90046829;0,817804337;0,805161774;;
American Samoa;ASM;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;ATG;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Australia;AUS;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;0;0;0;0;0;0;0;0;;;;;;1,435500026;1,668380022;1,274700046;1,414839983;1,199650049;1,451609969;1,784600019;1,596840024;2,027400017;
Austria;AUT;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;1,182549953;1,171659946;1,117439985;1,265079975;1,197589278;1,246659994;1,195371628;1,236221313;;
Azerbaijan;AZE;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;0;0,384237707;0,415560007
Burundi;BDI;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;0,057490885;;;;;;;;;
Belgium;BEL;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0,715300024;0,70043999;0,80381;0,82972002;0,85680002;0,971997499;0,785730004;0,694376349;0,994889617;1,073575735;
Benin;BEN;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;
Burkina Faso;BFA;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0,11575;0,473419994;;;;
Bangladesh;BGD;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;0,119450003;0,121459998;0,130170003;0,135949999;0,216389999;0,225020006;0,242459998;0,260109991;0,273310006;0,318870008;0,035489999;;
Bulgaria;BGR;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0,32523188;0,359375954;0,369814992;0,341724604;0,324886709;0,315394014;0,380273253;0,31560272;0,297683597;
Bahrain;BHR;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;0,24831;;;;;;0,257459998;0,252499998;0,268620014;;0,286839992;;0,600149989;
Bahamas, The;BHS;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;0,534630001;;;;;;;;;;;;;
Bosnia and Herzegovina;BIH;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;0,147939995;0,196229994;0,200886607;0,207839996;0,248322368;0,235780001;0,297602326;0,25187999;
Belarus;BLR;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,349970013;;;;
Belize;BLZ;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;
Bermuda;BMU;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;0,88665998;;;;;;1,385429978;;;;;;;
Bolivia;BOL;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;0;0;0;;;0;0;0;0,411852956;0,230978191;;0,129580289;0,36954999;0,353928834;0,307433099;0,280490011;0,117677726;0,14368996;0,106927462;0,269300014;0,167710006;0,161445022;0,067015819;
Brazil;BRA;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;0,240920007;0,261339992;0,31358999;;;;;
Barbados;BRB;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brunei Darussalam;BRN;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;0,259900004;;;0,395148367;;;0,572253942;0,197142556;0,586733043;1,383996606;1,181426644;0,774414539;
Bhutan;BTN;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;0,138380006;;0;0;;0,266099989;0;0,106709599;0,089755975;0,133354247;0,242138043;
Botswana;BWA;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,366883814;0,268062353;0;0,571733117;
Central African Republic;CAF;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada;CAN;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,221570015;0;0;0;0;1,30381;0;
Central Europe and the Baltics;CEB;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Switzerland;CHE;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;4,116749763;3,989490032;4,018760204;3,982308865;3,847170115;3,825819969;3,669229984;3,696308374;4,0163517;
Channel Islands;CHI;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chile;CHL;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;0,118367143;0,103686869;0,121234693;0,206645891;0,20990248;0,245312303;0,218165264;0,277272493;0,278843403;0,258908987;0,433985054;0,334844887;0,289756119;
China;CHN;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,144769996;;;
Cote d'Ivoire;CIV;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;0,251357138;0,340193421;;;0;;;0,497909337;;;;
Cameroon;CMR;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;0,277053595;;;;;;;;;
Congo, Dem. Rep.;COD;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;0,165802315;;;;;;;0,3895863;;;;0,03492;;;;;;;
Congo, Rep.;COG;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;0,492995679;;;;;;;;;;;;;;
Colombia;COL;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,195463449;
Comoros;COM;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;0,350454122;;;;;;;0,302418083;;
Cabo Verde;CPV;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;
Costa Rica;CRI;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;0,531172574;0,736844659;0,458302557;0,729569912;0,833786011;0,479866415;0,774488926;;;;;;;;;;;0,323540002;;0,331900001;;;
Caribbean small states;CSS;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cuba;CUB;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;0,327179998;;;;;;;;;;;
Curacao;CUW;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,189393938;;0;;;
Cayman Islands;CYM;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;0,710950017;;;;;;;;
Cyprus;CYP;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;0,716820002;0,761330009;1,049129963;1,010890007;0,710073709;0,77135998;0,75893575;1,263779998;1,239423513;1,192102313;
Czechia;CZE;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;0;0;0,908628285;0;0;0;0;0;0;0;0;0;0;0;0,694880009;0,768119991;0,831889987;0,904449999;0,998876214;0,924419999;0,970451117;1,041181445;0,87469852;
Germany;DEU;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;1,757650018;1,771690011;1,827029943;1,761020541;1,653069973;1,830450892;2,005290031;2,202507019;2,273955584;
Djibouti;DJI;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;
Dominica;DMA;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Denmark;DNK;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0,899708688;0,846499979;1,001109958;0,994364381;0,944970012;1,338597417;1,317960024;1,270222664;1,360361457;
Dominican Republic;DOM;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;0,083035417;0;0,186497793;0,238432407;0,375892341;0,298762053;0,116069958;0,047136631;
Algeria;DZA;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;0,1206;;;;;;;;;;;;
East Asia & Pacific (excluding high income);EAP;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Early-demographic dividend;EAR;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
East Asia & Pacific;EAS;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Europe & Central Asia (excluding high income);ECA;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Europe & Central Asia;ECS;Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
