ObjectId;Country;ISO3;Indicator;CTS Name;Unit;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
1;Afghanistan, Islamic Rep. of;AFG;Expenditure on biodiversity & landscape protection;Expenditure on Biodiversity & Landscape Protection;Domestic Currency;;;;;;;;;;;;;;;;;;;;;;124378535;1258268621;;;;;
2;Afghanistan, Islamic Rep. of;AFG;Expenditure on biodiversity & landscape protection;Expenditure on Biodiversity & Landscape Protection;Percent of GDP;;;;;;;;;;;;;;;;;;;;;;0,009433491;0,09134202;;;;;
3;Afghanistan, Islamic Rep. of;AFG;Expenditure on environment protection;Environmental Protection Expenditures;Domestic Currency;;;;;;;;;;;;1857300000;607962564,6;724851965,3;1359704125;810955336,2;3059044770;2846995334;3344665481;2204963658;1122600737;1702933102;2377937283;;;;;
4;Afghanistan, Islamic Rep. of;AFG;Expenditure on environment protection;Environmental Protection Expenditures;Percent of GDP;;;;;;;;;;;;0,537075929;0,142215102;0,14006549;0,223920222;0,113936738;0,365817096;0,275446885;0,29947926;0,186381299;0,091523592;0,129158976;0,172622596;;;;;
5;Afghanistan, Islamic Rep. of;AFG;Expenditure on environmental protection n.e.c.;Expenditure on Environmental Protection Not Elsewhere Classified;Domestic Currency;;;;;;;;;;;;;;;;;;;;;;96690784,58;88469171;;;;;
6;Afghanistan, Islamic Rep. of;AFG;Expenditure on environmental protection n.e.c.;Expenditure on Environmental Protection Not Elsewhere Classified;Percent of GDP;;;;;;;;;;;;;;;;;;;;;;0,007333513;0,00642228;;;;;
7;Afghanistan, Islamic Rep. of;AFG;Expenditure on environmental protection R&D;Expenditure on Environmental Protection R&D;Domestic Currency;;;;;;;;;;;;;;;;;;;;;;0;42544400;;;;;
8;Afghanistan, Islamic Rep. of;AFG;Expenditure on environmental protection R&D;Expenditure on Environmental Protection R&D;Percent of GDP;;;;;;;;;;;;;;;;;;;;;;0;0,003088443;;;;;
9;Afghanistan, Islamic Rep. of;AFG;Expenditure on pollution abatement;Expenditure on Pollution Abatement;Domestic Currency;;;;;;;;;;;;;;;;;;;;;;5760852;252362816;;;;;
10;Afghanistan, Islamic Rep. of;AFG;Expenditure on pollution abatement;Expenditure on Pollution Abatement;Percent of GDP;;;;;;;;;;;;;;;;;;;;;;0,000436932;0,018319879;;;;;
11;Afghanistan, Islamic Rep. of;AFG;Expenditure on waste management;Expenditure on Waste Management;Domestic Currency;;;;;;;;;;;;;;;;;;;;;;1452466001;736292275,2;;;;;
12;Afghanistan, Islamic Rep. of;AFG;Expenditure on waste management;Expenditure on Waste Management;Percent of GDP;;;;;;;;;;;;;;;;;;;;;;0,110162296;0,053449973;;;;;
13;Afghanistan, Islamic Rep. of;AFG;Expenditure on waste water management;Expenditure on Waste Water Management;Domestic Currency;;;;;;;;;;;;;;;;;;;;;;23636929,8;0;;;;;
14;Afghanistan, Islamic Rep. of;AFG;Expenditure on waste water management;Expenditure on Waste Water Management;Percent of GDP;;;;;;;;;;;;;;;;;;;;;;0,001792743;0;;;;;
15;Albania;ALB;Expenditure on biodiversity & landscape protection;Expenditure on Biodiversity & Landscape Protection;Domestic Currency;;;;;;;;;;;0;0;;;;;8640000;7100000;16830000;20010000;24870000;24480000;24920000;14880000;13400000;12100000;9020000;
16;Albania;ALB;Expenditure on biodiversity & landscape protection;Expenditure on Biodiversity & Landscape Protection;Percent of GDP;;;;;;;;;;;0;0;;;;;0,000664296;0,000532709;0,001246618;0,001434095;0,001733939;0,001662502;0,001607073;0,00090913;0,000792007;0,000735975;0,000477289;
17;Albania;ALB;Expenditure on environment protection;Environmental Protection Expenditures;Domestic Currency;;;;;;;;;;;0;0;87782120;202970000;;138000000;705620000;471670000;624470000;916690000;1383280000;2728820000;2856850000;1415570000;3124950000;5297590000;5481315234;
18;Albania;ALB;Expenditure on environment protection;Environmental Protection Expenditures;Percent of GDP;;;;;;;;;;;0;0;0,009091621;0,018781764;;0,011132223;0,054252417;0,035389114;0,046255234;0,065698198;0,096442426;0,185321473;0,184236179;0,086487713;0,184700258;0,32222269;0,290041368;
19;Albania;ALB;Expenditure on environmental protection n.e.c.;Expenditure on Environmental Protection Not Elsewhere Classified;Domestic Currency;;;;;;;;;;;0;0;;;;;28720000;45530000;42050000;164020000;171500000;96090000;245550000;168350000;136760000;149320000;110665233,6;
20;Albania;ALB;Expenditure on environmental protection n.e.c.;Expenditure on Environmental Protection Not Elsewhere Classified;Percent of GDP;;;;;;;;;;;0;0;;;;;0,002208171;0,003416088;0,003114693;0,011755139;0,011956998;0,006525729;0,015835341;0,010285755;0,008083204;0,009082298;0,005855802;
21;Albania;ALB;Expenditure on environmental protection R&D;Expenditure on Environmental Protection R&D;Domestic Currency;;;;;;;;;;;0;0;;;;;0;0;0;0;0;0;0;0;0;0;11820000;
22;Albania;ALB;Expenditure on environmental protection R&D;Expenditure on Environmental Protection R&D;Percent of GDP;;;;;;;;;;;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0,00062545;
23;Albania;ALB;Expenditure on pollution abatement;Expenditure on Pollution Abatement;Domestic Currency;;;;;;;;;;;0;0;;;;;668260000;419040000;565590000;732660000;1186910000;2608250000;2586380000;835490000;1128480000;1218180000;1063030000;
24;Albania;ALB;Expenditure on pollution abatement;Expenditure on Pollution Abatement;Percent of GDP;;;;;;;;;;;0;0;;;;;0,05137995;0,031440317;0,041893922;0,052508963;0,082751489;0,177133241;0,166793766;0,051046306;0,066698842;0,074095058;0,056249762;
25;Albania;ALB;Expenditure on waste management;Expenditure on Waste Management;Domestic Currency;;;;;;;;;;;0;0;;;;;0;0;0;0;0;0;0;392370000;1704720000;3790470000;4100280000;
26;Albania;ALB;Expenditure on waste management;Expenditure on Waste Management;Percent of GDP;;;;;;;;;;;0;0;;;;;0;0;0;0;0;0;0;0,023972805;0,100757524;0,230553032;0,2169645;
27;Albania;ALB;Expenditure on waste water management;Expenditure on Waste Water Management;Domestic Currency;;;;;;;;;;;0;0;;;;;0;0;0;0;0;0;0;4480000;141590000;127520000;186500000;
28;Albania;ALB;Expenditure on waste water management;Expenditure on Waste Water Management;Percent of GDP;;;;;;;;;;;0;0;;;;;0;0;0;0;0;0;0;0,000273717;0,008368681;0,007756326;0,009868565;
29;Algeria;DZA;Expenditure on environment protection;Environmental Protection Expenditures;Domestic Currency;;;;;;;;;;;;9010000000;4210000000;16730000000;11930797901;;;;;;;;;;;;;
30;Algeria;DZA;Expenditure on environment protection;Environmental Protection Expenditures;Percent of GDP;;;;;;;;;;;;0,105979604;0,045012842;0,151489036;0,119690687;;;;;;;;;;;;;
31;Angola;AGO;Expenditure on biodiversity & landscape protection;Expenditure on Biodiversity & Landscape Protection;Domestic Currency;;;;;;;;;;;;;;;;;;;;4038821665;1454877619;1032447372;23316770133;1097848154;1405176929;;;
32;Angola;AGO;Expenditure on biodiversity & landscape protection;Expenditure on Biodiversity & Landscape Protection;Percent of GDP;;;;;;;;;;;;;;;;;;;;0,028196463;0,010429013;0,006238517;0,115074768;0,004099815;0,00429855;;;
33;Angola;AGO;Expenditure on environment protection;Environmental Protection Expenditures;Domestic Currency;;;;;400550,8866;4055577,5;449212243,2;633712123;1259392249;3788665015;9888633779;9991386728;12864961900;19278072231;21475385627;27518472526;32555272126;55081587914;49102330373;37070757064;21341707139;1906470490;26418879174;4569486210;2937514547;;;
34;Angola;AGO;Expenditure on environment protection;Environmental Protection Expenditures;Percent of GDP;;;;;0,001907205;0,003617256;0,186327296;0,095239873;0,094766672;0,192555399;0,306876275;0,237338518;0,256973652;0,290185877;0,385047043;0,35730613;0,310022402;0,450566985;0,372128209;0,258804258;0,152983958;0,011519762;0,130384542;0,017064335;0,008986095;;;
35;Angola;AGO;Expenditure on environmental protection n.e.c.;Expenditure on Environmental Protection Not Elsewhere Classified;Domestic Currency;;;;;;;;;;;;;;;;;;;;2576199627;6971101203;104514172;705293050,1;999859837,4;196241705;;;
