"country","PY","N_econ","N_CC","N_TopFive","N_TopTen","N_Top30","N_TrunkJournals","N_Top30_CC","N_TrunkJournals_CC","mean_TC","mean_nb_authors","mean_nb_authors_gendered","mean_share_male_authors","mean_share_female_authors","N_F","N_M","N_FF","N_MM","N_FM","Share_econ","Share_CC","Share_TopFive","Share_TopTen","Share_Top30","Share_TrunkJournals","Share_Top30_CC","Share_TrunkJournals_CC","ISO3","year","PIBValues","RDValues","EducFValues","EducHValues","CO2emissionsalues","NDC_Implied_average","NDC_Implied_conditional","NDC_Implied_unconditional","is_carbon_tax","ExpendituresValues","DisastersValues","TemperatureValues","Comparative_advantage","Total_trade","Trade_balance"
"Argentina",1970,2,0,1,1,1,2,0,0,14,1,0,0,0,2,2,2,2,2,0.120336943441637,0,0.917431192660551,0.826446280991736,0.452488687782805,0.382409177820268,0,0,"ARG","1970",NA,NA,NA,NA,NA,"348.9999542","348.9999542","348.9999542",NA,NA,NA,0.437,NA,NA,NA
"Australia",1970,112,0,5,5,6,47,0,0,6.22321428571429,1.17857142857143,0.232142857142857,0.806769230769231,0.193230769230769,91,107,86,86,86,6.73886883273165,0,4.58715596330275,4.13223140495868,2.71493212669683,8.98661567877629,0,0,"AUS","1970",41333606613,NA,NA,NA,NA,"344.1261806","344.1261806","344.1261806",NA,NA,NA,0.007,NA,NA,NA
"Austria",1970,11,0,0,0,0,5,0,0,1,1.18181818181818,0.545454545454545,0.995483333333333,0.00451666666666667,5,11,5,5,5,0.661853188929001,0,0,0,0,0.956022944550669,0,0,"AUT","1970",15373005557,NA,NA,NA,NA,"40.16706358","40.16706358","40.16706358",NA,NA,NA,-0.544,NA,NA,NA
"Belgium",1970,16,0,1,2,2,5,0,0,7.25,1.25,0.0625,1,0,15,16,15,15,15,0.962695547533093,0,0.917431192660551,1.65289256198347,0.904977375565611,0.956022944550669,0,0,"BEL","1970",26706196047,NA,NA,NA,NA,"60.72091465","60.72091465","60.72091465",NA,NA,NA,NA,NA,NA,NA
"Benin",1970,1,0,0,0,0,0,0,0,4,1,1,0.9961,0.0039,0,1,0,0,0,0.0601684717208183,0,0,0,0,0,0,0,"BEN","1970",333627713.5,NA,NA,NA,NA,"31.289","30.2877724","31.289",NA,NA,NA,0.374,NA,NA,NA
"Bolivia",1970,1,0,0,0,0,0,0,0,13,2,0,0,0,1,1,1,1,1,0.0601684717208183,0,0,0,0,0,0,0,"BOL","1970",1006833333,NA,NA,NA,NA,"116.098","116.098","116.098",NA,NA,NA,0.234,NA,NA,NA
"Brazil",1970,12,0,0,0,0,1,0,0,1.66666666666667,1.33333333333333,0.166666666666667,1,0,10,12,10,10,10,0.72202166064982,0,0,0,0,0.191204588910134,0,0,"BRA","1970",NA,NA,NA,NA,NA,"1093.496457","1093.496457","1093.496457",NA,NA,NA,0.116,NA,NA,NA
"Canada",1970,209,0,15,15,36,69,0,0,8.48325358851675,1.21531100478469,0.382775119617225,0.795202777777778,0.204797222222222,151,188,137,143,138,12.575210589651,0,13.7614678899083,12.396694214876,16.289592760181,13.1931166347992,0,0,"CAN","1970",88192257632,NA,NA,NA,NA,"417.8394943","417.8394943","417.8394943",NA,NA,NA,0.428,NA,NA,NA
"Chile",1970,5,0,3,3,3,4,0,0,19,1.2,0,0,0,5,5,5,5,5,0.300842358604091,0,2.75229357798165,2.47933884297521,1.35746606334842,0.764818355640535,0,0,"CHL","1970",9144112431,NA,NA,NA,NA,"53.96430885","53.96430885","53.96430885",NA,NA,NA,0.177,NA,NA,NA
"Colombia",1970,90,0,10,10,29,40,0,0,18.1222222222222,1.37777777777778,0.5,0.767465,0.232535,63,75,55,62,55,5.41516245487365,0,9.1743119266055,8.26446280991736,13.1221719457014,7.64818355640535,0,0,"COL","1970",7198360460,NA,NA,NA,NA,"169.4398627","169.4398627","169.4398627",NA,NA,NA,0.044,NA,NA,NA
"Czechia",1970,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0.0601684717208183,0,0,0,0,0,0,0,"CZE","1970",NA,NA,NA,NA,NA,"74.09327695","74.09327695","74.09327695",NA,NA,NA,NA,NA,NA,NA
"Denmark",1970,10,0,1,1,1,4,0,0,2.7,1,0.4,0.998975,0.001025,6,10,6,6,6,0.601684717208183,0,0.917431192660551,0.826446280991736,0.452488687782805,0.764818355640535,0,0,"DNK","1970",17075457600,NA,NA,NA,NA,"28.53844507","28.53844507","28.53844507",NA,NA,NA,-1.213,NA,NA,NA
"Finland",1970,5,0,0,0,0,3,0,0,1.2,1,0.2,0.9954,0.0046,4,5,4,4,4,0.300842358604091,0,0,0,0,0.573613766730402,0,0,"FIN","1970",11357516988,NA,NA,NA,NA,"27.66494696","27.66494696","27.66494696",NA,NA,NA,-0.626,NA,NA,NA
"France",1970,24,0,0,0,0,7,0,0,3.83333333333333,1.16666666666667,0.333333333333333,0.759475,0.240525,18,22,16,16,16,1.44404332129964,0,0,0,0,1.33843212237094,0,0,"FRA","1970",1.48456e+11,NA,NA,NA,NA,"252.0056209","252.0056209","252.0056209",NA,NA,NA,-0.097,NA,NA,NA
"Georgia",1970,78,0,0,0,2,10,0,0,0.769230769230769,1.26923076923077,0.320512820512821,0.910452,0.089548,55,76,53,53,53,4.69314079422383,0,0,0,0.904977375565611,1.91204588910134,0,0,"GEO","1970",NA,NA,NA,NA,NA,"21.055","18.1101238","21.055",NA,NA,NA,NA,NA,NA,NA
"Germany",1970,50,0,0,1,0,12,0,0,2.62,1.06,0.46,0.994277272727273,0.00572272727272727,28,49,28,29,28,3.00842358604091,0,0,0.826446280991736,0,2.29445506692161,0,0,"DEU","1970",2.15838e+11,NA,NA,NA,NA,"392.2517952","392.2517952","392.2517952",NA,NA,NA,-0.832,NA,NA,NA
"Guinea",1970,1,0,0,0,0,1,0,0,6,1,1,0.9702,0.0298,0,1,0,0,0,0.0601684717208183,0,0,0,0,0.191204588910134,0,0,"GIN","1970",3220224608,NA,NA,NA,NA,"37.202311","35.63522","38.769402",NA,NA,NA,0.349,NA,NA,NA
"Hong Kong",1970,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0.0601684717208183,0,0,0,0,0,0,0,"HKG","1970",3800766536,NA,NA,NA,NA,"36.678","36.678","36.678",NA,NA,NA,-0.397,NA,NA,NA
"Hungary",1970,12,0,0,0,0,0,0,0,1.5,1.08333333333333,0,0,0,12,12,12,12,12,0.72202166064982,0,0,0,0,0,0,0,"HUN","1970",5762071728,NA,NA,NA,NA,"47.13898346","47.13898346","47.13898346",NA,NA,NA,-0.506,NA,NA,NA
"Iceland",1970,4,0,0,0,1,1,0,0,1.25,1,0.75,0.996233333333333,0.00376666666666667,1,4,1,1,1,0.240673886883273,0,0,0,0.452488687782805,0.191204588910134,0,0,"ISL","1970",526704545.5,NA,NA,NA,NA,"7.975281422","7.975281422","7.975281422",NA,NA,NA,-0.605,NA,NA,NA
"India",1970,64,0,5,5,15,23,0,0,149.203125,1.25,0.25,0.781246428571429,0.218753571428571,53,59,50,52,50,3.85078219013237,0,4.58715596330275,4.13223140495868,6.78733031674208,4.39770554493308,0,0,"IND","1970",62422483055,NA,NA,NA,NA,"4696.763","4696.763","4696.763",NA,NA,NA,0.061,NA,NA,NA
