ObjectId;Country;ISO3;Indicator;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;Source
1;Afghanistan, Islamic Rep. of;AFG;Climate related disasters frequency, Number of Disasters: Drought;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;1;;;1;;;;;;;1;;;1;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
2;Afghanistan, Islamic Rep. of;AFG;Climate related disasters frequency, Number of Disasters: Extreme temperature;;;;;;;;;;;1;1;;;;;;;;;;2;;;;1;;;1;;;;1;;;;;;;;;;;1;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
3;Afghanistan, Islamic Rep. of;AFG;Climate related disasters frequency, Number of Disasters: Flood;1;;;;;;;;1;;;3;2;;;2;1;2;1;1;;;4;8;2;8;7;7;1;3;2;2;6;4;2;1;4;1;3;6;5;2;5;2;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
4;Afghanistan, Islamic Rep. of;AFG;Climate related disasters frequency, Number of Disasters: Landslide;;;;;;;;1;;;;;;2;;1;;1;1;;;;1;;;;2;;;1;2;;3;1;;4;;2;1;1;1;1;1;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
5;Afghanistan, Islamic Rep. of;AFG;Climate related disasters frequency, Number of Disasters: Storm;;;;;;;;;;;;;;1;;;;;;;;;;;;1;2;;;;;1;;;1;;;2;;;1;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
6;Afghanistan, Islamic Rep. of;AFG;Climate related disasters frequency, Number of Disasters: TOTAL;1;;;;;;;1;1;;1;4;2;3;;3;1;3;2;2;1;2;5;8;2;10;12;7;3;4;4;4;10;5;3;5;4;5;5;7;7;4;6;3;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
7;Afghanistan, Islamic Rep. of;AFG;Climate related disasters frequency, Number of Disasters: Wildfire;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
8;Albania;ALB;Climate related disasters frequency, Number of Disasters: Drought;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
9;Albania;ALB;Climate related disasters frequency, Number of Disasters: Extreme temperature;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;1;;;;;1;;;;;1;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
10;Albania;ALB;Climate related disasters frequency, Number of Disasters: Flood;;;;;;;;;;;;;1;;;2;;1;;;;;1;;1;1;;;;1;1;;;;;3;1;1;1;;;1;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
11;Albania;ALB;Climate related disasters frequency, Number of Disasters: Landslide;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
12;Albania;ALB;Climate related disasters frequency, Number of Disasters: Storm;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
13;Albania;ALB;Climate related disasters frequency, Number of Disasters: TOTAL;;;;;;2;;;;1;;;1;;;2;;1;;;;;2;;2;2;;2;;1;1;;1;;;3;1;2;1;;;1;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
14;Albania;ALB;Climate related disasters frequency, Number of Disasters: Wildfire;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
15;Algeria;DZA;Climate related disasters frequency, Number of Disasters: Drought;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
16;Algeria;DZA;Climate related disasters frequency, Number of Disasters: Extreme temperature;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;1;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
17;Algeria;DZA;Climate related disasters frequency, Number of Disasters: Flood;;1;1;;1;1;;;;;;;1;1;2;;1;1;;1;4;1;3;3;2;2;1;6;1;2;;1;2;;;2;;;1;;;2;;1;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
18;Algeria;DZA;Climate related disasters frequency, Number of Disasters: Landslide;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
19;Algeria;DZA;Climate related disasters frequency, Number of Disasters: Storm;;;;;;;;;1;;;;;;;;;;;;1;;;1;;1;;;;;;;;;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
20;Algeria;DZA;Climate related disasters frequency, Number of Disasters: TOTAL;;2;1;;1;1;;;1;;;;1;2;3;;1;1;;1;5;1;3;5;2;3;1;7;1;2;;1;2;;;2;;1;1;1;;3;1;2;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
