;ObjectId;Country;ISO3;Indicator;Unit;Scale;F2030
1;115;Advanced Economies;AETMP;Implied average (of conditional & unconditional) economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;7387.099095
2;118;Advanced Economies;AETMP;Implied conditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;7387.099095
3;121;Advanced Economies;AETMP;Implied unconditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;7387.099095
4;212;Afghanistan, Islamic Rep. of;AFG;Implied average (of conditional & unconditional) economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;33.174
5;215;Afghanistan, Islamic Rep. of;AFG;Implied conditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;33.174
6;218;Afghanistan, Islamic Rep. of;AFG;Implied unconditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;33.174
7;325;Africa;NA605;Implied average (of conditional & unconditional) economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;3537.4403
8;328;Africa;NA605;Implied conditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;3255.650337
9;331;Africa;NA605;Implied unconditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;3728.254562
10;431;Albania;ALB;Implied average (of conditional & unconditional) economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;8.582
11;434;Albania;ALB;Implied conditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;8.582
12;437;Albania;ALB;Implied unconditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;8.582
13;539;Algeria;DZA;Implied average (of conditional & unconditional) economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;261.950625
14;542;Algeria;DZA;Implied conditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;238.9725
15;545;Algeria;DZA;Implied unconditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;284.92875
16;663;Americas;AMETMP;Implied average (of conditional & unconditional) economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;6709.092687
17;666;Americas;AMETMP;Implied conditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;6649.422566
18;669;Americas;AMETMP;Implied unconditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;6760.664637
19;759;Angola;AGO;Implied average (of conditional & unconditional) economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;90.21648154
20;762;Angola;AGO;Implied conditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;84.64756293
21;765;Angola;AGO;Implied unconditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;95.78540016
22;993;Argentina;ARG;Implied average (of conditional & unconditional) economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;348.9999542
